[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 172.188.155.25 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 172.188.155.25 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 172.188.155.25 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 172.188.155.25 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 2.16.158.51 | Protocol: 17
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 172.188.155.25 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 172.188.155.25 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 172.188.155.25 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
